longitude,latitude,altitude,angle,speed,odometer,timedelta,d1,d2,d3,e2,e3,Pass_ID,Y,tsne_x,tsne_y,color_tsne_5000,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,order,id
0.6391179818687966,0.5319304107987861,0.04265935764986999,0.0841045916075119,0.7539075490522115,0.22254767964833536,0.00686773823926626,0.0,0.0,0.0,0.0,0.0,1414,-3.0,-30.105359999999997,-24.23415,#cbd02e,4,5,3,3,3,6,6,6,6,6,4,3,16,16,16,16,16,6405
0.6383585828787961,0.5286689277859901,0.03737221384280208,0.7966573816155988,0.15305313243457574,0.0941577170822151,0.011805664764644888,0.8461538461538461,0.0,0.0,0.0,0.0,1414,-4.0,-55.914974,5.922847,#f17503,4,5,3,3,3,6,6,6,6,6,4,3,16,16,16,16,16,6406
0.6391499596806476,0.5269704076596398,0.02178649237472767,0.9206128133704736,0.4085051546391753,0.1938551918245528,0.01580296074626893,0.375,0.0,0.0,0.0,0.0,1414,-5.0,-51.1255,7.814978,#f07003,4,5,3,3,3,6,6,6,6,6,4,3,16,16,16,16,16,6407
0.6441381377188602,0.5414574358392237,0.05664488017429194,0.011142061281337049,0.0,0.002313183609789457,0.013144728298272549,0.0,0.0,0.0,0.0,1.0,1414,1.0,-23.480632999999997,29.545923,#d53640,4,5,3,3,3,6,6,6,6,6,4,3,16,16,16,16,16,6408
0.6441381377188602,0.5414574358392237,0.05664488017429194,0.011142061281337049,0.0,0.0,0.021627630339482312,0.0,0.0,0.0,0.0,1.0,1414,2.0,-23.480412,29.545816,#d53640,4,5,3,3,3,6,6,6,6,6,4,3,16,16,16,16,16,6409
0.6441381377188602,0.5414574358392237,0.05664488017429194,0.011142061281337049,0.0,0.0,0.028867408404473043,0.0,0.0,0.0,0.0,1.0,1414,3.0,-23.480324,29.545683,#d53640,4,5,3,3,3,6,6,6,6,6,4,3,16,16,16,16,16,6410
0.6441382237520621,0.5414582181136538,0.05664488017429194,0.10001326435866828,0.006872852233676976,0.00035980315169570717,0.014925281302278985,0.0,0.0,0.0,0.9047619047619044,0.0,1414,4.0,-12.315227,44.57189,#ae105e,4,5,3,3,3,6,6,6,6,6,4,3,16,16,16,16,16,6411
0.6448449659803916,0.5436734646644652,0.0719714242286062,0.048195892984388165,0.5101894030208584,0.19513463718883128,0.009054050234965465,0.0,0.0,0.0,0.0,0.0,1414,5.0,-33.413445,-14.570135999999998,#d9b923,4,5,3,3,3,6,6,6,6,6,4,3,16,16,16,16,16,6412
0.6372351994091385,0.5302197507389756,0.03812636165577343,0.4428969359331476,0.1855670103092784,0.009917074368612932,0.0008226533001256133,0.0,0.9999999999999998,0.0,0.0,0.0,1464,0.0,63.591774,5.872187599999999,#1e76ea,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6413
0.639651138319115,0.5329973812503894,0.04853546356814332,0.5747446610956359,0.8129056891943489,0.2874202523799231,0.008176440490200148,0.0,0.0,0.0,0.0,0.0,1464,-1.0,1.7958505,-22.944682999999998,#89d367,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6414
0.6423647488768864,0.5374639230535827,0.04950093732583473,0.5721318909114466,0.27187724766243104,0.04733398729648032,0.002379112046914318,0.0,0.0,0.8604651162790694,0.0,0.0,1464,-2.0,25.518385000000002,2.1614976,#6b93b8,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6415
0.6440019955572733,0.538292323072664,0.04968530622125394,0.5705663881151345,0.3187285223367697,0.15530190932540805,0.007406978206969035,0.0,0.0,0.3611111111111109,0.0,0.0,1464,-3.0,22.798601,5.934607,#7487b4,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6416
0.6445766280111744,0.5424107048886455,0.05626214449743863,0.5220959120680568,0.6129841181387573,0.08427598720199637,0.00297820844291925,0.0,0.7297297297297296,0.0,0.0,0.0,1464,-4.0,50.446896,1.9820553,#2482df,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6417
0.6460058109447147,0.5471916834246677,0.07834059549745824,0.5362116991643454,0.6185567010309279,0.2866900268862905,0.01002521564051383,0.0,0.0,0.0,0.0,0.0,1464,-5.0,-3.2831144,-14.496069,#a2c365,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6418
0.6381727821248848,0.5286141147285903,0.030837993845877418,0.4295724090400023,0.22319056222765435,0.17431558555139226,0.016548369014565956,0.3917525773195876,0.0,0.0,0.0,0.0,1464,1.0,-45.404064,0.7806408,#ea7e02,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6419
0.6387803470739701,0.5275722159420901,0.025853304284676838,0.43064066852367705,0.21443298969072166,0.2496269291070855,0.029564393458186587,0.0,0.0,0.0,0.1333333333333333,0.0,1464,2.0,-14.492619,0.29620472,#c59853,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6420
0.6388110609262956,0.5275096908803576,0.02506106819832311,0.4276019245378577,0.12446110590440487,0.15380480793503332,0.036459977360626256,0.0,0.0,0.0,0.4969696969696969,0.0,1464,3.0,-9.12478,37.734221999999995,#af1a61,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6421
0.6388417747786193,0.5274471658186286,0.02426883211196937,0.42456318055203857,0.0344892221180881,0.057982686762981066,0.04335556126306591,0.0,0.0,0.0,0.8606060606060604,0.0,1464,4.0,-8.816285,44.738625,#a80f65,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6422
0.63896551153187,0.527299399940965,0.02467739232445116,0.4100064281122777,0.1086439333862014,0.011170331019591492,0.009960862057713914,0.0,0.0,0.0,0.0,0.0,1464,5.0,-13.761508,10.493834,#c87658,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,2,6423
0.6436132921835682,0.5215803901587996,0.013071895424836605,0.5598885793871866,0.041237113402061855,0.033529156198643724,0.006121098283985496,0.0,0.9999999999999998,0.0,0.0,0.0,1529,0.0,62.41786999999999,10.294239,#1f6ceb,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6424
0.643843560042793,0.5217780969831303,0.005550368295466337,0.6963788300835655,0.09720176730486008,0.013852421340284731,0.0039300120124644905,0.0,0.0,0.0,0.0,0.0,1529,-1.0,0.79211855,17.626358,#a96080,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6425
0.6424616161712889,0.5220626866225189,0.004394861392832995,0.2788396887907021,0.357269818698898,0.1228642464879878,0.008246245909090821,0.0,0.0,0.0,0.0,0.0,1529,-2.0,-15.918701,1.9044946,#c99250,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6426
0.6403524343878768,0.5228931897923204,0.0061882909192045605,0.3061103538197119,0.17350296117569644,0.059271349240575165,0.011763675192888913,0.0,0.0,0.0,0.0,0.0,1529,-3.0,-18.098478,7.935363000000001,#ce7d4b,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6427
0.6395870674833866,0.5231560316707089,0.008714596949891068,0.3732590529247911,0.15670103092783505,0.010578212659853791,0.0011572919306851851,0.0,0.2,0.0,0.0,0.0,1529,-4.0,-9.90497,6.309424,#c08662,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6428
0.6407509819655566,0.5244767264690182,0.01331396756233358,0.6812132466728568,0.2485681557846506,0.04271163246587792,0.0034873683212481273,0.0,0.4444444444444443,0.5555555555555554,0.0,0.0,1529,-5.0,34.242053999999996,4.0583234,#5388c9,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6429
0.6435963565079827,0.5216032354965492,0.008225927962046709,0.7836669877385259,0.07630792947297428,0.005225552315281581,0.01245160633405714,0.0,0.0,0.0,0.38317757009345776,0.0,1529,1.0,-2.8279018,35.595745,#a31a6b,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6430
0.6435887582487538,0.5215974013377114,0.0027284018487976703,0.7524275635852447,0.006937084497543116,0.007344019470125462,0.02824529871093412,0.0,0.0,0.0,0.9439252336448596,0.0,1529,2.0,-3.4261112000000002,45.903316,#a00f6f,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6431
0.6435401672029517,0.5215953268879083,0.0,0.8969527133604056,0.0044714942243199605,0.010272678010631465,0.010671982070059191,0.0,0.0,0.0,0.94578313253012,0.0,1529,3.0,-1.9160416,46.06817,#9d0f72,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6432
0.6435344532509788,0.5215707842057888,0.0,0.7670738664966273,0.034281455719786365,0.006346813802746832,0.024279275782571885,0.0,0.0,0.0,0.5843373493975903,0.0,1529,4.0,-3.0440294999999997,39.294178,#9f126e,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6433
0.6435287392990041,0.5215462415236622,0.0,0.6371950196328491,0.06409141721525276,0.0024209495948621924,0.03788656949508458,0.0,0.0,0.0,0.22289156626506015,0.0,1529,5.0,-4.6255913,31.354008,#ac2968,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,42,6434
0.6436178089265567,0.5215442490801152,0.017429193899782137,0.5097493036211699,0.05154639175257732,0.021723115283628327,0.004726770656653947,0.0,0.9999999999999998,0.0,0.0,0.0,1536,0.0,62.839054000000004,9.723436,#1f6deb,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6435
0.6437248557353891,0.5218295445648238,0.014161220043572988,0.9164345403899722,0.0,0.012727488010821474,0.02319991131925144,0.0,0.0,0.0,0.9999999999999998,0.0,1536,-1.0,-1.7741271,46.486732,#9d0f73,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6436
0.6437277251956406,0.52182335999521,0.014161220043572988,0.8295264623955432,0.02037598544572469,0.02789559126319637,0.020579455586691688,0.0,0.0,0.0,0.8588235294117644,0.0,1536,-2.0,-2.3493817000000004,45.17568,#9e0f71,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6437
0.6437420724968987,0.5217924371471447,0.014161220043572988,0.3949860724233984,0.12225591267434813,0.013895015683978116,0.005028601578335132,0.0,0.0,0.0,0.15294117647058822,0.0,1536,-3.0,-14.956576,12.18318,#ca7055,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6438
0.6423786082251404,0.522074924496728,0.013305322128851544,0.30023875845602865,0.2790868924889543,0.07893181640324579,0.0064398017416612795,0.0,0.3928571428571428,0.0,0.0,0.0,1536,-4.0,44.145588000000004,3.8809793,#3681d8,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6439
0.6405196774906212,0.5228143621160335,0.014310735187321118,0.3340979845977388,0.16676773802304426,0.0797995769455707,0.012622492593386322,0.0,0.0,0.0,0.0,0.0,1536,-5.0,-17.203947,7.509788,#cd7f4e,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6440
0.6435824393545371,0.5215317229108011,0.013564186358304005,0.27525712449110784,0.04044409199048375,0.009526566861423962,0.015312935027240394,0.0,0.0,0.0,0.5096153846153845,0.0,1536,1.0,-10.813359,38.75611,#b2195f,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6441
0.6435947134522007,0.5215740752663933,0.010848274070076555,0.05875137359127035,0.003404899271729878,0.013519541532222215,0.030300530221435886,0.0,0.0,0.0,0.9587155963302751,0.0,1536,2.0,-12.749949,44.907883,#af105e,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6442
0.6435702235888385,0.5215538796678025,0.010548459954828008,0.20901586977077,0.026104227749929064,0.012349768670917936,0.039050255882855885,0.0,0.0,0.0,0.68348623853211,0.0,1536,3.0,-11.870391999999999,42.48039,#ae125e,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6443
0.64354573372548,0.5215336840692117,0.010248645839579459,0.35928036595026963,0.04880355622812825,0.011179995809613659,0.047799981544275866,0.0,0.0,0.0,0.4082568807339448,0.0,1536,4.0,-9.793773,36.574653999999995,#b21d5f,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6444
0.6435212438621143,0.5215134884706174,0.009948831724330916,0.5095448621297692,0.07150288470632744,0.010010222948309385,0.05654970720569586,0.0,0.0,0.0,0.1330275229357798,0.0,1536,5.0,-6.3157706,29.56089,#b23065,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,8,6445
0.6771329452517652,0.6840810841420115,0.15359477124183007,0.31754874651810583,0.6185567010309279,0.1822852717278377,0.006399963809451807,0.0,0.9999999999999998,0.0,0.0,0.0,1721,0.0,58.186119999999995,-0.26993752,#1d84e5,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6446
0.6728429427610401,0.6859148412436404,0.170319108035371,0.2982139931181386,0.4050939963614313,0.11431025497714907,0.005793021195201603,0.0,0.0,0.5882352941176469,0.0,0.0,1721,-1.0,22.688965,-0.55149806,#719cb1,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6447
0.6724449766424296,0.6839146659243553,0.16240839770251536,0.9022537351228158,0.6879100281162136,0.2540230694332585,0.008377373899122001,0.0,0.0,0.09090909090909087,0.0,0.0,1721,-2.0,16.079075,-23.338305,#69d48a,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6448
0.6761971062161116,0.6800122740465397,0.1451343500363108,0.8257195914577529,0.6103092783505155,0.023013909090336675,0.0008040622650945262,0.0,0.0,0.9999999999999996,0.0,0.0,1721,-3.0,28.647999,0.58992314,#6197be,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6449
0.679555174144566,0.6785463882447615,0.1289034132171387,0.9563602599814298,0.5234822451317297,0.21576195663352574,0.009095663888959464,0.0,0.0,0.9999999999999996,0.0,0.0,1721,-4.0,29.14681,1.2225338,#6094bf,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6450
0.6815163053456494,0.6753270662003281,0.15870621752974695,0.8011570602099851,0.5424266455194289,0.2072777521879318,0.007944449796649827,0.0,0.0,0.8461538461538458,0.0,0.0,1721,-5.0,28.970467,0.66663635,#6196be,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6451
0.6778196639069414,0.6846114270919941,0.15200268141444614,0.9232911934861796,0.08406026962727993,0.04475397663784297,0.0070434996374509826,0.1153846153846154,0.0,0.0,0.0,0.0,1721,1.0,7.41811,25.298367000000002,#96428e,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6452
0.677712597675896,0.6847181412284584,0.15574635651361995,0.8236301666118793,0.04840878529807262,0.009996270171024215,0.015514189865375541,0.0,0.0,0.0,0.32919254658385083,0.0,1721,2.0,-0.4455233,34.515229999999995,#9f1c71,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6453
0.6776309596504504,0.6847487519670317,0.1581821134250802,0.8194778456374676,0.021515015688032272,0.017035897052027182,0.03183042123116831,0.0,0.0,0.0,0.7018633540372671,0.0,1721,3.0,-1.6599319,42.011173,#9b0f72,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6454
0.6775656492300861,0.684772873987967,0.16019013666072493,0.8149266787909483,0.0003578427196046689,0.022555197241671727,0.04800716114377803,0.0,0.0,0.0,0.9950413223140494,0.0,1721,4.0,-2.6503412999999996,47.907505,#9f0f71,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6455
0.6775656492300861,0.6847710411383829,0.1604872251931075,0.8087801284559955,0.0021470563176280142,0.021993190665882567,0.06362593524365556,0.0,0.0,0.0,0.9702479338842974,0.0,1721,5.0,-2.6709604,47.854397,#9f0f71,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,13,6456
0.6425911532452098,0.5685303893211504,0.19281045751633988,0.7576601671309192,0.3402061855670103,0.0179451821908234,0.001101518825591923,0.0,0.9999999999999998,0.0,0.0,0.0,1745,0.0,57.926669999999994,11.100705,#1f68e9,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6457
0.6433993491239978,0.5673873820753101,0.1870007262164125,0.6415970287836582,0.1924398625429553,0.07870693943343596,0.007701336261627917,0.0,0.0,0.0,0.0,0.0,1745,-1.0,2.0952067,22.15544,#a54f82,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6458
0.6442278807295541,0.5644960517219886,0.1394335511982571,0.9240226683315724,0.6199786704585849,0.24471887292531225,0.008303942224704541,0.0,0.0,0.0,0.0,0.0,1745,-2.0,15.867985999999998,-22.460917000000002,#69d28b,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6459
0.6483373536755117,0.5613629563089191,0.14705882352941174,0.8941504178272981,0.6597938144329897,0.11522695933055024,0.003890174080255019,0.0,0.0,0.0,0.0,0.0,1745,-3.0,16.06766,-24.532398,#6ad588,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6460
0.6477126392905124,0.5566998099732068,0.13413413413413414,0.04916058119400738,0.6205071050431875,0.2886162196878305,0.009836792988171729,0.0,0.0,0.0,0.0,0.0,1745,-4.0,-36.12142,-19.6894,#d9c422,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6461
0.6466832965830687,0.5517150875332639,0.10796763149704328,0.5566255471547951,0.6430044182621502,0.28831026545377025,0.010049118399839515,0.0,0.0,0.0,0.0,0.0,1745,-5.0,-4.2794504,-16.80431,#a1c860,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6462
0.642507262862523,0.5681550918850213,0.1813903484414826,0.4569155424472482,0.06252947914561012,0.010068315154190906,0.011572645909277864,0.0,0.0,0.0,0.2418300653594771,0.0,1745,1.0,-9.786477,32.470848,#b7265c,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6463
0.6424906129079773,0.5680988294809026,0.1805359761914933,0.4525461066506454,0.030186645104777306,0.014142556724862882,0.027648423259688658,0.0,0.0,0.0,0.633986928104575,0.0,1745,2.0,-9.085802000000001,40.548916,#ab1463,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6464
0.6424712014564093,0.5680369306105568,0.18316215375038905,0.5646637485077596,0.020618556701030927,0.012817987279159572,0.03157753696583862,0.0,0.0,0.0,0.7142857142857142,0.0,1745,3.0,-6.214042,41.39222,#a31069,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6465
0.6424351481938686,0.5680279594286262,0.1941026454052322,0.8588803013064461,0.00033880257489956933,0.0066786348512672365,0.013522163145304971,0.0,0.0,0.0,0.9890453834115802,0.0,1745,4.0,-2.3509772,47.473045,#9e0f72,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6466
0.6424452419481526,0.5680254914078908,0.19584147343514002,0.7953234728706501,0.003242824645467305,0.007255080041483953,0.0291543433052474,0.0,0.0,0.0,0.8951486697965569,0.0,1745,5.0,-2.7678921,47.13427,#9f0f71,4,5,2,2,2,4,4,4,4,4,14,12,3,12,12,3,46,6467
0.6757259798107641,0.6847573603869571,0.16339869281045752,0.32590529247910865,0.4432989690721649,0.004722416366006158,0.00026492224919299416,0.0,0.9999999999999998,0.0,0.0,0.0,1830,0.0,59.918440000000004,0.8252316999999999,#1e82e6,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6468
0.6728742700814365,0.6858855145376026,0.17102396514161222,0.27202427971562804,0.26480997076473306,0.11670007130143872,0.008181373434818678,0.0,0.0,0.0,0.0,0.0,1830,-1.0,-22.165426,14.132622,#d6653f,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6469
0.6720199100658864,0.6846476926234253,0.16815210932857996,0.9377057482907064,0.5810684161199624,0.10621143717726576,0.0038141198460369344,0.0,0.6363636363636362,0.0,0.0,0.0,1830,-2.0,50.101913,9.444918,#276ae1,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6470
0.6749007708667172,0.6812166298607814,0.14923747276688454,0.8802228412256268,0.5463917525773195,0.0075558661856098535,0.00026492224919299416,0.0,0.9999999999999998,0.0,0.0,0.0,1830,-3.0,54.386414,9.220778999999999,#206ce5,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6471
0.6786225670894588,0.6797140371351666,0.13834422657952072,0.8022284122562674,0.4536082474226804,0.0656415874874856,0.0030535775038560897,0.0,0.0,0.0,0.0,0.0,1830,-4.0,19.375904000000002,-22.019657000000002,#64d194,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6472
0.6797154181486054,0.6775548936489599,0.12962962962962965,0.9700402352212936,0.08064146620847651,0.006968187704506864,0.050318185564557055,0.0,0.0,0.0,0.022222222222222227,0.0,1830,-5.0,7.393364999999999,25.44245,#96428e,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6473
0.6777846782157049,0.6838403439560672,0.1495031616982837,0.13839255384197294,0.07945687704299723,0.10302930339981728,0.011276709706021171,0.024390243902439025,0.0,0.0,0.0,0.0,1830,1.0,-25.198318,13.868589000000002,#da6436,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6474
0.6777600218572424,0.6841711129109811,0.15084844579459325,0.2948722978539762,0.0,0.03374199749964681,0.013988248248901242,0.0,0.0,0.0,0.6901408450704224,0.30985915492957744,1830,2.0,-11.229498,41.833453999999996,#ae135f,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6475
0.6776407416726791,0.6845350688441414,0.15453066985792754,0.6361960061202871,0.0,0.07524605119525023,0.02965970524341639,0.0,0.0,0.0,0.2676056338028168,0.7323943661971831,1830,3.0,-21.968668,31.425079999999998,#d13145,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6476
0.6775651975557881,0.6847655742684751,0.15686274509803924,0.8523676880222841,0.0,0.051894108733112114,0.02636053842116254,0.0,0.0,0.0,0.0,1.0,1830,4.0,-23.298779999999997,31.882738,#d33043,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6477
0.6775651975557881,0.6847655742684751,0.15686274509803924,0.8523676880222841,0.0,0.0,0.006102084725430975,0.0,0.0,0.0,0.003246753246753246,0.9967532467532468,1830,5.0,-23.28209,31.878967,#d33043,4,5,3,2,3,6,6,6,6,6,4,3,16,16,16,16,41,6478
0.6468030160822309,0.5531408609098278,0.10893246187363836,0.030640668523676882,0.5567010309278351,0.2540660004911313,0.014208198522508476,0.0,0.9999999999999998,0.0,0.0,0.0,1837,0.0,63.929527,-5.197078,#1d91e5,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,4,6479
0.6464158004602716,0.5498540546050918,0.0949432404540764,0.7640375311537898,0.36272381985892577,0.2903913242749103,0.010186664102625906,0.0,0.0,0.0,0.0,0.0,1837,-1.0,17.116034,-14.277633999999999,#72c399,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,4,6480
0.6452696806412987,0.5448418288205161,0.06913807189542484,0.05222841225626741,0.6810567010309279,0.2879936105706568,0.00917990451644408,0.0,0.0,0.0,0.0,0.0,1837,-2.0,-33.661858,-21.833845,#d4ca27,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,4,6481
0.6442748982440722,0.5399207359484492,0.05166511048863991,0.903700756068444,0.5338733431516938,0.21365560901630715,0.0114065959398773,0.0,0.0,0.0,0.0,0.0,1837,-3.0,17.496546,-18.92299,#6acc94,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,4,6482
0.6434311419760359,0.5376350908641285,0.04396635197288793,0.3206437635406995,0.16494845360824742,0.07545371927018726,0.00660136668895525,0.0,0.0,0.6388888888888885,0.0,0.0,1837,-4.0,21.998082999999998,2.8360357000000005,#7592b1,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,4,6483
0.6432866841208167,0.5387990923428205,0.03253640637541567,0.5774813077261398,0.6389039609332611,0.2797534600399069,0.008014448430572547,0.0,0.0,0.0,0.0,0.0,1837,-5.0,0.09956968599999999,-16.314394,#98c76c,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,4,6484
0.6479240152327534,0.5566482567668452,0.11683006535947715,0.1149025069637883,0.2770618556701031,0.02089669241957725,0.0018683990206242746,0.0,0.0,0.0,0.0,0.0,1837,1.0,-29.246240000000004,5.741944999999999,#de7d2a,4,5,2,2,2,4,4,4,4,4,14,12,12,12,12,12,4,6485
