longitude,latitude,altitude,angle,speed,odometer,Pass_ID,Y,tsne_x,tsne_y,color_tsne_5000,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,order,id
0.6432474360014773,0.5218662332356026,0.00980392156862745,0.7994428969359332,0.13402061855670105,0.006611382912408621,1251,0.0,-40.758327,10.456798,#e8670f,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5764
0.6434691295998096,0.5216947786534618,0.010715554937499035,0.6912029079989728,0.07574760546903561,0.005638431171752742,1251,-1.0,-39.117233,-4.6433134,#e38c11,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5765
0.6434830642324361,0.5217017691909192,0.010252012546547382,0.6995001876765642,0.058199897638370975,0.004332230900304232,1251,-2.0,-40.327637,-4.5790815,#e48b0f,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5766
0.6434969988650625,0.5217087597283765,0.009788470155595731,0.7077974673541556,0.040652189807706365,0.003026030628855719,1251,-3.0,-42.0133,-4.155532,#e6880b,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5767
0.643510933497689,0.5217157502658409,0.00932492776464408,0.7160947470317469,0.02310448197704175,0.0017198303574072074,1251,-4.0,-43.317820000000005,-3.656454,#e78509,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5768
0.6435248681303101,0.5217227408033089,0.008861385373692424,0.7243920267093384,0.00555677414637713,0.00041363008595869536,1251,-5.0,-44.16482,-3.0291636000000004,#e88307,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5769
0.6406489698912701,0.5229185683560331,0.014861500155617803,0.8016315161161958,0.3788659793814433,0.21901892474627133,1251,1.0,-16.668364,19.487335,#c4605d,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5770
0.6396385113040495,0.523217108724694,0.010552832244008716,0.8953690807799443,0.13015463917525774,0.04232465668033019,1251,2.0,-43.654266,14.562222,#ec620d,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5771
0.6400377342011351,0.5241580325464135,0.011521702698173288,0.18159417184486826,0.14195083267248215,0.025591864075779524,1251,3.0,-0.54024106,-42.870377000000005,#7ada6b,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5772
0.6412723273168162,0.5250747281727683,0.016086537974362873,0.8793159292608668,0.14193239031407334,0.038009960564528635,1251,4.0,-42.747864,14.147255,#eb620e,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5773
0.6395663138281016,0.5267520765520857,0.02234993614303959,0.8968398808952069,0.27319587628865977,0.19210464093025734,1251,5.0,-27.643235999999998,27.378471,#d84538,0,5,6,7,4,8,10,10,10,12,12,10,10,10,10,8,96,5774
0.6399253715332431,0.522998106108723,0.006535947712418303,0.8217270194986073,0.10309278350515463,0.03541812274504618,1255,0.0,-42.3832,9.489075,#e9690b,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5775
0.6424600948478449,0.5221530566789205,0.00901328273244782,0.8019139185910685,0.20452278017958106,0.08210911036378449,1255,-1.0,-35.218154999999996,21.360661999999998,#e45324,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5776
0.6434680872608176,0.5216819989153407,0.025538610505930773,0.6986485092334674,0.06949217258495609,0.0027285072336924467,1255,-2.0,-39.613384,-4.300521,#e38b10,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5777
0.6434919256265914,0.5216865621828504,0.016460905349794237,0.6491282368719694,0.029400534555173725,0.0011543684450237269,1255,-3.0,-38.916523,-9.799215,#e19915,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5778
0.6435094070948253,0.521689908579031,0.00980392156862745,0.6128133704735376,0.0,0.001845037091834964,1255,-4.0,-37.588390000000004,-12.797039,#dfa119,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5779
0.6435094070948253,0.521689908579031,0.00980392156862745,0.6128133704735376,0.0,0.008763926186216077,1255,-5.0,-37.547287,-12.791161,#dfa119,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5780
0.6395597505981829,0.5233443098065216,0.009826615831517794,0.011142061281337049,0.16387457044673534,0.012071676835603241,1255,1.0,6.792553,-49.367634,#6fde7b,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5781
0.6401837292322021,0.5241989755865966,0.009259259259259259,0.16295264623955433,0.2371134020618557,0.07626702431099945,1255,2.0,3.2787151,-34.881370000000004,#76d37d,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5782
0.6411911887558439,0.5251185880714999,0.014297385620915034,0.8816155988857939,0.2564432989690721,0.048463797956138185,1255,3.0,-37.441402000000004,19.093601,#e7581d,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5783
0.6395799833285931,0.52660449004577,0.02172915950005733,0.8843278111713825,0.2034725990233315,0.05341301458182754,1255,4.0,-39.502655,17.914543,#e95b18,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5784
0.6382207219333083,0.5288860528407504,0.033397702515349584,0.633831349708787,0.09489222118088096,0.22280145759527686,1255,5.0,-19.921235999999997,0.520432,#c98f51,0,5,6,7,4,8,10,10,10,12,12,14,14,12,12,14,138,5785
0.6411200500537717,0.5246260974255108,0.018518518518518517,0.6880222841225627,0.3608247422680412,0.004250174729405542,1283,0.0,-16.935910999999997,8.853063,#c57c5c,4,5,6,6,6,7,7,7,7,6,6,7,7,6,6,10,114,5786
0.6398266207829622,0.5261579136887775,0.019541149793250636,0.3710988573702461,0.4683357879234168,0.28228484767412315,1283,-1.0,8.776848,-9.883664999999999,#7faaa0,4,5,6,6,6,7,7,7,7,6,6,7,7,6,6,10,114,5787
0.6380422442469715,0.5289359534422573,0.04344413990207791,0.44846796657381616,0.108635406274249,0.14804521414076294,1283,-2.0,-10.253041,-10.002466,#b0aa6b,4,5,6,6,6,7,7,7,7,6,6,7,7,6,6,10,114,5788
0.6374553590612084,0.5298725125778745,0.0427413498254738,0.44846796657381616,0.1951003214721206,0.046284758253920574,1283,-3.0,-10.950038000000001,-16.857897,#adb764,4,5,6,6,6,7,7,7,7,6,6,7,7,6,6,10,114,5789
