TIME,Pass_ID,Time since ball possession change,Time to next ball possession change,Pressure on the ball (d1=9.0; d2=3.0; p=1.75),Pressure on the offense team (d1=9.0; d2=3.0; p=1.75),Threat to the defense goal from the offense team (maxD=35.0; r=1.5),Potential threat to the offense goal from the defense team (maxD=35.0; r=1.5),Ball distance to the defense goal,left-right,back-front,change,team,tsne_x,tsne_y,color_tsne,ae4_x,ae4_y,color_ae4,ae3_x,ae3_y,color_ae3,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,tsne_y_5000,tsne_x_5000,color_tsne_5000,order,id,Y
49:43.2,46,0.020063839,0.47674964799999997,0.142766528,0.17885123600000002,0.0,0.244258495,0.960038059,0.512444596,0.284792524,0,1,80.72339000000001,15.366504,#2662e7,3.055411,4.327693,#7a189b,-2.469386,0.6632701999999999,#b1135c,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.906172,3.60483,#355ce0,0,23,23
49:43.2,46,0.020975832000000003,0.47581024,0.155842889,0.170341295,0.0,0.24063078300000001,0.956327307,0.5057961129999999,0.288797419,0,1,80.87733,15.455398,#2562e7,3.044054,4.3151593,#7a189a,-2.4645054,0.65624255,#b1135c,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.856365,3.5935876,#355be0,0,24,24
49:43.3,46,0.021887825,0.474870831,0.19492559199999998,0.16138634,0.0,0.237259288,0.9479543290000001,0.49266962200000003,0.298364668,0,1,80.985085,15.611744,#2562e7,3.0320935,4.291283999999999,#7b199a,-2.4700112,0.6420765,#b3145c,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.809254,3.5569365,#355cdf,0,25,25
49:43.4,46,0.022799818,0.47393142299999996,0.220102464,0.152204972,0.0,0.23392032899999998,0.939486204,0.47834981200000004,0.307931917,0,1,81.03923,15.7611475,#2561e8,3.0160270000000002,4.2668230000000005,#7b1999,-2.4676607,0.6292928000000001,#b3155c,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.752075,3.5336611,#355cdf,0,26,26
49:43.5,46,0.02371181,0.472992015,0.229763357,0.14400342,0.0,0.230138073,0.930542341,0.465393795,0.318055401,0,1,81.08239,15.880848,#2561e8,3.0009363,4.246392,#7c1999,-2.460881,0.61756426,#b3165c,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.690355,3.5280056,#355bdf,0,27,27
49:43.6,46,0.024623803,0.472052607,0.21063674100000002,0.136861706,0.0,0.22643918899999999,0.922169363,0.451926355,0.32751140300000003,0,1,81.089096,16.008785,#2661e8,2.982307,4.231066,#7c1a98,-2.4403653,0.6093618000000001,#b2175d,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.599766,3.5639365,#365bdf,0,28,28
49:43.6,46,0.025535796,0.471113199,0.175750183,0.130262598,0.0,0.223191736,0.9141769740000001,0.43862939,0.336411169,0,1,81.108086,16.197601000000002,#2661e8,2.9563002999999997,4.2084613,#7d1a96,-2.4127777000000004,0.60334706,#b1165f,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.479008,3.6159737,#365bde,0,29,29
49:43.7,46,0.026447788,0.470173791,0.139643816,0.123854769,0.0,0.220475019,0.9056137009999999,0.427037163,0.34597841799999995,0,1,81.17008,16.51931,#2661e8,2.9294715,4.180779,#7e1a95,-2.3875634999999997,0.5972288,#af1660,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,17.349188,3.6550786,#375bde,0,30,30
49:43.8,46,0.027359781,0.469234382,0.0,0.11820034300000001,0.0,0.21800841899999998,0.897240723,0.416126833,0.355100679,0,1,81.70695,19.486164000000002,#275ee8,2.892704,4.1347466,#7f1b93,-2.314962,0.6020838000000001,#a91465,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.984108,3.7446249,#395add,0,31,31
49:43.9,46,0.028271774,0.468294974,0.0,0.11289529300000001,0.0,0.215732965,0.8910561370000001,0.406750767,0.36177550299999994,0,1,81.71911,19.575342000000003,#275ee8,2.8792967999999997,4.1165233,#801c92,-2.3047332999999997,0.59342307,#a91565,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.919527,3.7352598,#395add,0,32,32
49:44.0,46,0.029183767000000003,0.467355566,0.0,0.109454232,0.0,0.21389877399999999,0.8842055190000001,0.397374702,0.369006564,0,1,81.73389399999999,19.655333,#275ee8,2.8667011000000002,4.098841999999999,#811d92,-2.297212,0.5844873,#a91565,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.861374,3.7268384,#395adc,0,33,33
49:44.0,46,0.030095759,0.46641615799999997,0.0,0.105292949,0.0,0.212109319,0.877164605,0.388851006,0.376571365,0,1,81.751,19.750002,#275ee8,2.8538474999999996,4.0811324,#831e91,-2.2901827999999997,0.57534814,#a91666,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.804264,3.7153678,#395adc,0,34,34
49:44.1,46,0.031007752000000003,0.46547675,0.0,0.100819375,0.0,0.210368668,0.8704091340000001,0.380668258,0.38369117799999997,0,1,81.77039,19.838795,#275de8,2.8411422,4.0637674,#841f90,-2.2828796000000002,0.56652653,#a91666,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.748482,3.7041783,#395adc,0,35,35
